;municipio;uf;date;casos confirmados;mortes;casos_interpolados;mortes_interpoladas
0;Acrelândia;AC;2020-02-20;;;0.0;0.0
1;Acrelândia;AC;2020-02-21;;;0.0;0.0
2;Acrelândia;AC;2020-02-22;;;0.0;0.0
3;Acrelândia;AC;2020-02-23;;;0.0;0.0
4;Acrelândia;AC;2020-02-24;;;0.0;0.0
5;Acrelândia;AC;2020-02-25;;;0.0;0.0
6;Acrelândia;AC;2020-02-26;;;0.0;0.0
7;Acrelândia;AC;2020-02-27;;;0.0;0.0
8;Acrelândia;AC;2020-02-28;;;0.0;0.0
9;Acrelândia;AC;2020-02-29;;;0.0;0.0
10;Acrelândia;AC;2020-03-01;;;0.0;0.0
11;Acrelândia;AC;2020-03-02;;;0.0;0.0
12;Acrelândia;AC;2020-03-03;;;0.0;0.0
13;Acrelândia;AC;2020-03-04;;;0.0;0.0
14;Acrelândia;AC;2020-03-05;;;0.0;0.0
15;Acrelândia;AC;2020-03-06;;;0.0;0.0
16;Acrelândia;AC;2020-03-07;;;0.0;0.0
17;Acrelândia;AC;2020-03-08;;;0.0;0.0
18;Acrelândia;AC;2020-03-09;;;0.0;0.0
19;Acrelândia;AC;2020-03-10;;;0.0;0.0
20;Acrelândia;AC;2020-03-11;;;0.0;0.0
21;Acrelândia;AC;2020-03-12;;;0.0;0.0
22;Acrelândia;AC;2020-03-13;;;0.0;0.0
23;Acrelândia;AC;2020-03-14;;;0.0;0.0
24;Acrelândia;AC;2020-03-15;;;0.0;0.0
25;Acrelândia;AC;2020-03-16;;;0.0;0.0
26;Acrelândia;AC;2020-03-17;;;0.0;0.0
27;Acrelândia;AC;2020-03-18;;;0.0;0.0
28;Acrelândia;AC;2020-03-19;;;0.0;0.0
29;Acrelândia;AC;2020-03-20;;;0.0;0.0
30;Acrelândia;AC;2020-03-21;;;0.0;0.0
31;Acrelândia;AC;2020-03-22;;;0.0;0.0
32;Acrelândia;AC;2020-03-23;;;0.0;0.0
33;Acrelândia;AC;2020-03-24;;;0.0;0.0
34;Acrelândia;AC;2020-03-25;;;0.0;0.0
35;Acrelândia;AC;2020-03-26;;;0.0;0.0
36;Acrelândia;AC;2020-03-27;;;0.0;0.0
37;Acrelândia;AC;2020-03-28;;;0.0;0.0
38;Acrelândia;AC;2020-03-29;2.0;;2.0;0.0
39;Acrelândia;AC;2020-03-30;6.0;;6.0;0.0
40;Alagoinhas;BA;2020-02-20;;;0.0;0.0
41;Alagoinhas;BA;2020-02-21;;;0.0;0.0
42;Alagoinhas;BA;2020-02-22;;;0.0;0.0
43;Alagoinhas;BA;2020-02-23;;;0.0;0.0
44;Alagoinhas;BA;2020-02-24;;;0.0;0.0
45;Alagoinhas;BA;2020-02-25;;;0.0;0.0
46;Alagoinhas;BA;2020-02-26;;;0.0;0.0
47;Alagoinhas;BA;2020-02-27;;;0.0;0.0
48;Alagoinhas;BA;2020-02-28;;;0.0;0.0
49;Alagoinhas;BA;2020-02-29;;;0.0;0.0
50;Alagoinhas;BA;2020-03-01;;;0.0;0.0
51;Alagoinhas;BA;2020-03-02;;;0.0;0.0
52;Alagoinhas;BA;2020-03-03;;;0.0;0.0
53;Alagoinhas;BA;2020-03-04;;;0.0;0.0
54;Alagoinhas;BA;2020-03-05;;;0.0;0.0
55;Alagoinhas;BA;2020-03-06;;;0.0;0.0
56;Alagoinhas;BA;2020-03-07;;;0.0;0.0
57;Alagoinhas;BA;2020-03-08;;;0.0;0.0
58;Alagoinhas;BA;2020-03-09;;;0.0;0.0
59;Alagoinhas;BA;2020-03-10;;;0.0;0.0
60;Alagoinhas;BA;2020-03-11;;;0.0;0.0
61;Alagoinhas;BA;2020-03-12;;;0.0;0.0
62;Alagoinhas;BA;2020-03-13;;;0.0;0.0
63;Alagoinhas;BA;2020-03-14;;;0.0;0.0
64;Alagoinhas;BA;2020-03-15;;;0.0;0.0
65;Alagoinhas;BA;2020-03-16;;;0.0;0.0
66;Alagoinhas;BA;2020-03-17;;;0.0;0.0
67;Alagoinhas;BA;2020-03-18;;;0.0;0.0
68;Alagoinhas;BA;2020-03-19;;;0.0;0.0
69;Alagoinhas;BA;2020-03-20;;;0.0;0.0
70;Alagoinhas;BA;2020-03-21;;;0.0;0.0
71;Alagoinhas;BA;2020-03-22;;;0.0;0.0
