city,ibge_id,date,qty_cases,qty_new_cases,cumm_qty_new_cases_14d,category
BELEM,1501402,2020-03-26,6,0,6,real
BELEM,2501906,2020-03-26,6,0,6,real
BELEM,2700805,2020-03-26,6,0,6,real
BELEM,1501402,2020-03-27,9,3,9,real
BELEM,2501906,2020-03-27,9,3,9,real
BELEM,2700805,2020-03-27,9,3,9,real
BELEM,1501402,2020-03-28,10,1,10,real
BELEM,2501906,2020-03-28,10,1,10,real
BELEM,2700805,2020-03-28,10,1,10,real
BELEM,1501402,2020-03-29,12,2,12,real
BELEM,2501906,2020-03-29,12,2,12,real
BELEM,2700805,2020-03-29,12,2,12,real
BELEM,1501402,2020-03-30,17,5,17,real
BELEM,2501906,2020-03-30,17,5,17,real
BELEM,2700805,2020-03-30,17,5,17,real
BELEM,1501402,2020-03-31,21,4,21,real
BELEM,2501906,2020-03-31,21,4,21,real
BELEM,2700805,2020-03-31,21,4,21,real
BELEM,1501402,2020-04-01,24,3,23,real
BELEM,2501906,2020-04-01,24,3,23,real
BELEM,2700805,2020-04-01,24,3,23,real
BELEM,1501402,2020-04-02,29,5,28,real
BELEM,2501906,2020-04-02,29,5,28,real
BELEM,2700805,2020-04-02,29,5,28,real
BELEM,1501402,2020-04-03,42,13,40,real
BELEM,2501906,2020-04-03,42,13,40,real
BELEM,2700805,2020-04-03,42,13,40,real
BELEM,1501402,2020-04-04,45,3,43,real
BELEM,2501906,2020-04-04,45,3,43,real
BELEM,2700805,2020-04-04,45,3,43,real
BELEM,1501402,2020-04-05,49,4,45,real
BELEM,2501906,2020-04-05,49,4,45,real
BELEM,2700805,2020-04-05,49,4,45,real
BELEM,1501402,2020-04-06,75,26,71,real
BELEM,2501906,2020-04-06,75,26,71,real
BELEM,2700805,2020-04-06,75,26,71,real
BELEM,1501402,2020-04-07,100,25,96,real
BELEM,2501906,2020-04-07,100,25,96,real
BELEM,2700805,2020-04-07,100,25,96,real
BELEM,1501402,2020-04-08,111,11,105,real
BELEM,2501906,2020-04-08,111,11,105,real
BELEM,2700805,2020-04-08,111,11,105,real
BELEM,1501402,2020-04-09,114,3,108,real
BELEM,2501906,2020-04-09,114,3,108,real
BELEM,2700805,2020-04-09,114,3,108,real
BELEM,1501402,2020-04-10,147,33,138,real
BELEM,2501906,2020-04-10,147,33,138,real
BELEM,2700805,2020-04-10,147,33,138,real
BELEM,1501402,2020-04-11,161,14,151,real
BELEM,2501906,2020-04-11,161,14,151,real
BELEM,2700805,2020-04-11,161,14,151,real
BELEM,1501402,2020-04-12,180,19,168,real
BELEM,2501906,2020-04-12,180,19,168,real
BELEM,2700805,2020-04-12,180,19,168,real
BELEM,1501402,2020-04-13,218,38,201,real
BELEM,2501906,2020-04-13,218,38,201,real
BELEM,2700805,2020-04-13,218,38,201,real
BELEM,1501402,2020-04-14,272,54,251,real
BELEM,2501906,2020-04-14,272,54,251,real
BELEM,2700805,2020-04-14,272,54,251,real
BELEM,1501402,2020-04-15,328,56,304,real
BELEM,2501906,2020-04-15,328,56,304,real
BELEM,2700805,2020-04-15,328,56,304,real
BELEM,1501402,2020-04-16,389,61,360,real
BELEM,2501906,2020-04-16,389,61,360,real
BELEM,2700805,2020-04-16,389,61,360,real
BELEM,1501402,2020-04-17,435,46,393,real
BELEM,2501906,2020-04-17,435,46,393,real
BELEM,2700805,2020-04-17,435,46,393,real
BELEM,1501402,2020-04-18,446,11,401,real
BELEM,2501906,2020-04-18,446,11,401,real
BELEM,2700805,2020-04-18,446,11,401,real
BELEM,1501402,2020-04-19,467,21,418,real
BELEM,2501906,2020-04-19,467,21,418,real
BELEM,2700805,2020-04-19,467,21,418,real
BELEM,1501402,2020-04-20,652,185,577,prediction
BELEM,2501906,2020-04-20,652,185,577,prediction
BELEM,2700805,2020-04-20,652,185,577,prediction
BELEM,1501402,2020-04-21,919,267,819,prediction
BELEM,2501906,2020-04-21,919,267,819,prediction
BELEM,2700805,2020-04-21,919,267,819,prediction
BELEM,1501402,2020-04-22,1286,367,1175,prediction
BELEM,2501906,2020-04-22,1286,367,1175,prediction
BELEM,2700805,2020-04-22,1286,367,1175,prediction
BELEM,1501402,2020-04-23,1734,448,1620,prediction
BELEM,2501906,2020-04-23,1734,448,1620,prediction
BELEM,2700805,2020-04-23,1734,448,1620,prediction
BELEM,1501402,2020-04-24,2014,280,1867,prediction
BELEM,2501906,2020-04-24,2014,280,1867,prediction
BELEM,2700805,2020-04-24,2014,280,1867,prediction
BELEM,1501402,2020-04-25,2287,273,2126,prediction
BELEM,2501906,2020-04-25,2287,273,2126,prediction
BELEM,2700805,2020-04-25,2287,273,2126,prediction
BELEM,1501402,2020-04-26,2546,259,2366,prediction
BELEM,2501906,2020-04-26,2546,259,2366,prediction
BELEM,2700805,2020-04-26,2546,259,2366,prediction
BELEM,1501402,2020-04-27,2842,296,2624,prediction
BELEM,2501906,2020-04-27,2842,296,2624,prediction
BELEM,2700805,2020-04-27,2842,296,2624,prediction
BELEM,1501402,2020-04-28,2864,22,2592,prediction
BELEM,2501906,2020-04-28,2864,22,2592,prediction
BELEM,2700805,2020-04-28,2864,22,2592,prediction
BELEM,1501402,2020-04-29,2864,0,2536,prediction
BELEM,2501906,2020-04-29,2864,0,2536,prediction
BELEM,2700805,2020-04-29,2864,0,2536,prediction
BELEM,1501402,2020-04-30,2864,0,2475,prediction
BELEM,2501906,2020-04-30,2864,0,2475,prediction
BELEM,2700805,2020-04-30,2864,0,2475,prediction
BELEM,1501402,2020-05-01,2864,0,2429,prediction
BELEM,2501906,2020-05-01,2864,0,2429,prediction
BELEM,2700805,2020-05-01,2864,0,2429,prediction
BELEM,1501402,2020-05-02,2864,0,2418,prediction
BELEM,2501906,2020-05-02,2864,0,2418,prediction
BELEM,2700805,2020-05-02,2864,0,2418,prediction
BELEM,1501402,2020-05-03,2864,0,2397,prediction
BELEM,2501906,2020-05-03,2864,0,2397,prediction
BELEM,2700805,2020-05-03,2864,0,2397,prediction
BELEM,1501402,2020-05-04,2864,0,2212,prediction
BELEM,2501906,2020-05-04,2864,0,2212,prediction
BELEM,2700805,2020-05-04,2864,0,2212,prediction
BELEM,1501402,2020-05-05,2864,0,1945,prediction
BELEM,2501906,2020-05-05,2864,0,1945,prediction
BELEM,2700805,2020-05-05,2864,0,1945,prediction
BELEM,1501402,2020-05-06,2864,0,1578,prediction
BELEM,2501906,2020-05-06,2864,0,1578,prediction
BELEM,2700805,2020-05-06,2864,0,1578,prediction
BELEM,1501402,2020-05-07,2864,0,1130,prediction
BELEM,2501906,2020-05-07,2864,0,1130,prediction
BELEM,2700805,2020-05-07,2864,0,1130,prediction
BELEM,1501402,2020-05-08,2864,0,850,prediction
BELEM,2501906,2020-05-08,2864,0,850,prediction
BELEM,2700805,2020-05-08,2864,0,850,prediction
BELEM,1501402,2020-05-09,2864,0,577,prediction
BELEM,2501906,2020-05-09,2864,0,577,prediction
BELEM,2700805,2020-05-09,2864,0,577,prediction
BELEM,1501402,2020-05-10,2864,0,318,prediction
BELEM,2501906,2020-05-10,2864,0,318,prediction
BELEM,2700805,2020-05-10,2864,0,318,prediction
BELEM,1501402,2020-05-11,2864,0,22,prediction
BELEM,2501906,2020-05-11,2864,0,22,prediction
BELEM,2700805,2020-05-11,2864,0,22,prediction
BELEM,1501402,2020-05-12,2864,0,0,prediction
BELEM,2501906,2020-05-12,2864,0,0,prediction
BELEM,2700805,2020-05-12,2864,0,0,prediction
BELEM,1501402,2020-05-13,2864,0,0,prediction
BELEM,2501906,2020-05-13,2864,0,0,prediction
BELEM,2700805,2020-05-13,2864,0,0,prediction
BELEM,1501402,2020-05-14,2864,0,0,prediction
BELEM,2501906,2020-05-14,2864,0,0,prediction
BELEM,2700805,2020-05-14,2864,0,0,prediction
BELEM,1501402,2020-05-15,2864,0,0,prediction
BELEM,2501906,2020-05-15,2864,0,0,prediction
BELEM,2700805,2020-05-15,2864,0,0,prediction
BELEM,1501402,2020-05-16,2864,0,0,prediction
BELEM,2501906,2020-05-16,2864,0,0,prediction
BELEM,2700805,2020-05-16,2864,0,0,prediction
BELEM,1501402,2020-05-17,2864,0,0,prediction
BELEM,2501906,2020-05-17,2864,0,0,prediction
BELEM,2700805,2020-05-17,2864,0,0,prediction
BELEM,1501402,2020-05-18,2864,0,0,prediction
BELEM,2501906,2020-05-18,2864,0,0,prediction
BELEM,2700805,2020-05-18,2864,0,0,prediction
BELEM,1501402,2020-05-19,2864,0,0,prediction
BELEM,2501906,2020-05-19,2864,0,0,prediction
BELEM,2700805,2020-05-19,2864,0,0,prediction
BELEM,1501402,2020-05-20,2864,0,0,prediction
BELEM,2501906,2020-05-20,2864,0,0,prediction
BELEM,2700805,2020-05-20,2864,0,0,prediction
BELEM,1501402,2020-05-21,2864,0,0,prediction
BELEM,2501906,2020-05-21,2864,0,0,prediction
BELEM,2700805,2020-05-21,2864,0,0,prediction
BELEM,1501402,2020-05-22,2864,0,0,prediction
BELEM,2501906,2020-05-22,2864,0,0,prediction
BELEM,2700805,2020-05-22,2864,0,0,prediction
BELEM,1501402,2020-05-23,2864,0,0,prediction
BELEM,2501906,2020-05-23,2864,0,0,prediction
BELEM,2700805,2020-05-23,2864,0,0,prediction
BELEM,1501402,2020-05-24,2864,0,0,prediction
BELEM,2501906,2020-05-24,2864,0,0,prediction
BELEM,2700805,2020-05-24,2864,0,0,prediction
BELEM,1501402,2020-05-25,2864,0,0,prediction
BELEM,2501906,2020-05-25,2864,0,0,prediction
BELEM,2700805,2020-05-25,2864,0,0,prediction
BELEM,1501402,2020-05-26,2864,0,0,prediction
BELEM,2501906,2020-05-26,2864,0,0,prediction
BELEM,2700805,2020-05-26,2864,0,0,prediction
BELEM,1501402,2020-05-27,2864,0,0,prediction
BELEM,2501906,2020-05-27,2864,0,0,prediction
BELEM,2700805,2020-05-27,2864,0,0,prediction
BELEM,1501402,2020-05-28,2864,0,0,prediction
BELEM,2501906,2020-05-28,2864,0,0,prediction
BELEM,2700805,2020-05-28,2864,0,0,prediction
BELEM,1501402,2020-05-29,2864,0,0,prediction
BELEM,2501906,2020-05-29,2864,0,0,prediction
BELEM,2700805,2020-05-29,2864,0,0,prediction
BELEM,1501402,2020-05-30,2864,0,0,prediction
BELEM,2501906,2020-05-30,2864,0,0,prediction
BELEM,2700805,2020-05-30,2864,0,0,prediction
BELEM,1501402,2020-05-31,2864,0,0,prediction
BELEM,2501906,2020-05-31,2864,0,0,prediction
BELEM,2700805,2020-05-31,2864,0,0,prediction
