ibge_id,state,city,qty_cases,qty_deaths
4314407,RS,PELOTAS,2,0
4314605,RS,PIRATINI,1,0
4314902,RS,PORTO ALEGRE,143,4
4315602,RS,RIO GRANDE,2,0
4316006,RS,ROLANTE,1,0
4316907,RS,SANTA MARIA,2,0
4317103,RS,SANTANA DO LIVRAMENTO,4,0
4317202,RS,SANTA ROSA,1,0
4317400,RS,SANTIAGO,1,0
4317608,RS,SANTO ANTONIO DA PATRULHA,1,0
4318705,RS,SAO LEOPOLDO,3,0
4319901,RS,SAPIRANGA,1,0
4320404,RS,SERAFINA CORREA,2,0
4321204,RS,TAQUARA,1,0
4321303,RS,TAQUARI,1,0
4321501,RS,TORRES,7,0
4323002,RS,VIAMAO,1,0
5002001,MS,BATAYPORA,3,0
5002704,MS,CAMPO GRANDE,36,0
5003702,MS,DOURADOS,2,0
5006606,MS,PONTA PORA,1,0
5007406,MS,RIO VERDE DE MATO GROSSO,1,0
5007901,MS,SIDROLANDIA,1,0
5103403,MT,CUIABA,12,0
5107602,MT,RONDONOPOLIS,3,0
5108402,MT,VARZEA GRANDE,2,0
5108956,MT,NOVA MONTE VERDE,1,0
5200258,GO,AGUAS LINDAS DE GOIAS,1,0
5201108,GO,ANAPOLIS,4,0
5201405,GO,APARECIDA DE GOIANIA,2,0
5205109,GO,CATALAO,1,0
5208608,GO,GOIANESIA,1,0
5208707,GO,GOIANIA,35,0
5209705,GO,HIDROLANDIA,1,0
5211503,GO,ITUMBIARA,2,0
5211909,GO,JATAI,2,0
5212501,GO,LUZIANIA,1,1
5218805,GO,RIO VERDE,7,0
5220603,GO,SILVANIA,1,0
5221858,GO,VALPARAISO DE GOIAS,2,0
5300108,DF,BRASILIA,312,2
